artist_name,n_tracks,avg_repeats,peak_repeats
Editors,6,384597.2,779581
The National,13,351313.2,850609
Yeah Yeah Yeahs,10,315871.4,498932
The Tallest Man on Earth,10,306673.2,464159
The Decemberists,9,261703.6,399844
Mew,7,238659.9,423721
Sum 41,12,222180.9,425673
The Used,5,220082.6,411311
Wolf Parade,11,214516.8,322114
Silversun Pickups,7,200724.7,362672
Interpol,6,194683.3,821234
Maxïmo Park,11,176371.9,486085
Black Kids,7,175679.0,290155
My Chemical Romance,6,175406.2,290508
Babyshambles,13,165960.4,553834
Nick Drake,10,164711.6,421680
Hurts,11,151092.5,483324
Sonata Arctica,11,149146.4,450889
Frightened Rabbit,15,144314.5,256085
Aphex Twin,13,141793.3,287478
Porcupine Tree,11,141131.2,500171
The Antlers,8,138409.6,225959
Nightwish,10,135081.0,551497
Architecture in Helsinki,12,129175.3,301920
Slipknot,7,127386.9,702087
